Reference_GAVIA,ReferenceID,Reference_Full,
"{Blanvillain, 2003 #80}",80,"Blanvillain, C., Salducci, J. M., Tutururai, G., & Maeura, M. (2003). Impact of introduced birds on the recovery of the Tahiti Flycatcher (Pomarea nigra), a critically endangered forest bird of Tahiti. Biological Conservation, 109, 197-205. ",
"{Boersma, 2006 #413}",413,"Boersma, P. D., Reichard, S. H., & Van Buren, A. N. (2006). Invasive Species in the Pacific Northwest. Seattle: University of Washington Press.",
"{Bomford, 2002 #91}",91,"Bomford, M., & Hart, Q. (2002). Non-indigenous Vertebrates in Australia. In D. Pimental (Ed.), Biological Invasions: Economics and Environmental Costs of Alien Plant, Animal, and Microbe Species. Boca Raton: CRC Press.",
"{Bond, 1928 #687}",687,"Bond, J. (1928). On the birds of Dominica, St. Lucia, St. Vincent, and Barbados, B.W.I. Proceedings of the Academy of Natural Sciences of Philadelphia, 80, 523-545. ",
"{Bond, 1942 #688}",688,"Bond, J. (1942). Additional notes on West Indian birds. Proceedings of the Academy of Natural Sciences of Philadelphia, 94, 89-106. ",
"{Bond, 1943 #689}",689,"Bond, J. (1943). Nidification of the passerine birds of Hispaniola. The Wilson Bulletin, 55(2), 115-125. ",
"{Bond, 1948 #690}",690,"Bond, J. (1948). Origin of the bird fauna of the west indies. The Wilson Bulletin, 60(4), 207-229. ",
"{Bonter, 2010 #850}",850,"Bonter, D. N., Zuckerberg, B., & Dikinson, J. L. (2010). Invasive birds in a novel landscape: habitat associations and effects on established species. Ecography, 33, 494-502. ",
"{Bourne, 1957 #427}",427,"Bourne, W. R. P. (1957). The Breeding Birds of Bermuda. Ibis, 99(1), 94-105. ",
"{Bourne, 1966 #469}",469,"Bourne, W. R. P. (1966). Further notes on the birds of the Cape Verde Islands. Ibis, 108, 425-429. ",
"{Bradley, 2000 #428}",428,"Bradley, P. E. (2000). The Birds of the Cayman Islands: BOU Checklist. Tring: British Ornithologists Union.",
"{Brazil, 1991 #278}",278,"Brazil, M., & Yabuuchi, M. (1991). The birds of Japan. London: Christopher Helm.",
"{Brazil, 2009 #63}",63,"Brazil, M. (2009). Birds of East Asia: China, Taiwan, Korea, Japan and Russia. London: Christopher Helm.",
"{Bregulla, 1992 #589}",589,"Bregulla, H. L. (1992). Birds of Vanuatu. Oswestry, Shropshire: Anthony Nelson.",
"{Brewer, 2001 #216}",216,"Brewer, D. (2001). Wrens, dippers and thrashers. London: Christopher Helm.",
"{Brickle, 2010 #896}",896,"Brickle, N. (2010). Notes on Checklist of the Birds of Indonesia v.2.0 (2.0 ed.): Burung Nusantara.",
"{Briskie, 2004 #536}",536,"Briskie, J. V., & Mackintosh, M. (2004). Hatching failure increases with severity of population bottlenecks in birds. PNAS, 101(2), 558-561. ",
"{Brochier, 2010 #754}",754,"Brochier, B., Vangeluwe, D., & van den Berg, T. (2010). Alien invasive birds. Rev. sci. tech. Off. int. Epiz., 29(2), 217-226. ",
"{Brockie, 1988 #537}",537,"Brockie, R. E., Loope, L. L., & Usher, M. B. (1988). Biological invasions of island nature reserves. Biological Conservation, 44, 9-36. ",
"{Brook, 1986 #472}",472,"Brook, R. K., & Prins, A. J. (1986). Review of alien species on South African offshore islands. South African Journal of Antarctic Research, 16(3), 102-109. ",
